"",""
"дорога","road"
"ступеньки","step"
"пол","floor"
"скамейка","bench"
"лестница","stairs"
"мост","bridge"
"паркет","parquet"
"трава","grass"
"рыба","fish"
"мыло","soap"
"мяч","ball"
"грибы","mushrooms"
"руки","hands"
"турник","horizontal bar"
"подошва","sole"
"ботинки","shoes"
"место","place"
"поле","field"
"степь","steppe"
"лужайка","lawn"
"лес","forest"
"ландшафт","landscape"
"доска","board"
"камень","stone"
"поверхность стола","table top"
"перила","railing"
"макароны","pasta"
"миска","bowl"
"кожа","leather"
"шерсть","wool"
"щеки","cheeks"
"подбородок","chin"
"волосы","hair"
"перья","feathers"
"ткань","the cloth"
"лыжня","track"
"поверхность озера","lake surface"
"потолок","ceiling"
"стена","wall"
"забор","fence"
"линия","line"
