"",""
"лист бумаги","sheet of paper"
"слой пыли","dust"
"ткань","textile"
"книга","book"
"стена","wall"
"столб","pole"
"ствол дерева","tree trunk"
"ветка","branch"
"палка","stick"
"веревка","rope"
"волосы","hair"
"дудка","pipe"
"песок","sand"
"туман","fog"
"дождь","rain"
"каша","porridge"
"лес","forest"
"человек","person"
"рука","hand"
"нога","leg"
"палец","finger"
"тесьма","braid"
"доска","plank"
"дорога","road"
"окно","window"
"поле","field"
"горлышко бутылки","bottleneck"
"коридор","hallway"
"улица","street"
"труба","trumpet"
"юбка","skirt"
"туфли","shoes"
"комната","room"
"кровать","bed"
