"","aigu","pointu","tranchant"
"нож","","","+, G"
"меч","","","+"
"коготь","+","+, G",""
"сабля","","","+"
"лезвие","","G","+"
"коса","","","+"
"ножницы","","G","+"
"пила","G","","+"
"иголка","","+, G",""
"стрела","+, G","+",""
"кол","G","+",""
"спица","","+, G",""
"палка","","+, G",""
"копье","+","+",""
"зуб","","+, G",""
"ноготь","+","+, G",""
"рог","+","+, G",""
"нос","","+, G",""
"угол","+, G","",""
"носок ботинка","","+, G",""
"гора","G","",""
"локоть","","+, G",""
"клюв","+","+, G",""
"колпак","G","+",""
"подбородок","","+, G",""
"каблук","","",""
"мачта","G","",""
"шип","","",""
"одеяло","","",""
"щетина","","",""
"шерсть","","",""
"куст","","",""
"свитер","","",""
"поворот","","","+"
"изгиб","","",""
"подъём","","",""
"склон","","",""
"берег","","",""
"гора","","",""
"линия","","",""
"фотография","","",""
"контраст","","",""
"картинка","","",""
"очки","","",""
"человек","","",""
"ум","+","",""
"взгляд","+, G","",""
"наблюдатель","","",""
"голова","","",""
"журналист","","",""
"слово","+","","G"
"язык","","",""
"высказывание","","",""
"критик","","G",""
"замечание","","",""
"критика","","",""
"статья","G","",""
"анекдот","","",""
"реакция","","",""
"брань","","",""
"ответ","","",""
"бесцеременность","","",""
"циннизм","","",""
"закон","","",""
"правитель","","",""
"распорядок","","",""
"наказание","","",""
"диета","","",""
"ребенок","","",""
"исследование","","",""
"работа","","",""
"соус","","",""
"вкус","","",""
"перец","","",""
"лечо","G","",""
"напиток","","",""
"вода","","",""
"звук","+","",""
"визг","+","",""
"голос","","",""
"лай","","",""
"храп","","",""
"свет","","",""
"вспышка","","",""
"блеск","","",""
"вонь","","",""
"запах","","",""
"нота","+","",""
"цвет","","",""
"синева","","",""
"оттенок","","",""
"аромат","","",""
"солнце","","",""
"слух","G","",""
"зрение","G","",""
"глаза","","",""
"уши","","",""
"нюх","G","",""
"нос","","",""
"ощущение","+, G","",""
"осознание","+, G","",""
"желание","+","",""
"ревность","+, G","",""
"зависть","G","",""
"обида","G","",""
"стремление","","",""
"мороз","+","",""
"ветер","+","",""
"холод","","",""
"жара","","",""
"проблема","+","",""
"нехватка","G","",""
"вопрос","","",""
"боль","+, G","",""
"жажда","+, G","",""
"недосып","G","",""
"дрожь","","",""
"слабость","","",""
"воспаление","+, G","",""
"грипп","+, G","",""
"заболевание","G","",""
"расстройство","G","",""
"аппендицит","G","",""
"кофликт","+, G","",""
"момент","+","",""
"сопротивление","","",""
"спор","","",""
"перепалка","","",""
"любопытство","+","",""
"наблюдательность","+","G",""
"впечатлительность","G","",""
"гордость","G","",""
"спад","","",""
"взмах","","",""
"вздох","","",""
"движение","","",""
"бросок","","",""
"скачок","","",""
"темп","","",""
"бег","","",""
