"микрофрейм","минимальный контекст на языке"
"острый нож","knife"
"острый меч","sword"
"острая сабля","sabre"
"острое лезвие","blade"
"острая коса","scythe"
"острые ножницы","scissors "
"острая пила","saw"
"острая иголка","needle"
"острая стрела","arrow"
"острый коготь","claw"
"острый кол","pole"
"острая спица","knitting needle"
"острая палка","stick"
"острое копье","spear"
"острый зуб","tooth"
"острый ноготь","nail"
"острый рог","horn"
"острый нос","nose"
"острый угол","angle"
"острый носок ботинка","tip of shoe"
"острая гора","mountain"
"острый локоть","elbow"
"острый клюв","beak"
"острый колпак","cap"
"острый подбородок","chin"
"острый каблук","heel"
"острая мачта","mast"
"острая крыша","roof"
"острый шип","thorn"
"колючее одеяло","blanket"
"колючая щетина","bristle"
"колючая шерсть","wool"
"колючий куст","bush"
"колючий свитер","sweater"
"крутой поворот","turn"
"крутой изгиб","bend"
"крутая излучина реки","river bend"
"крутой подъем","rise"
"крутой склон","slope"
"крутой берег","coast"
"крутая гора","mountain"
"четкая линия","line"
"четкая фотография","picture"
"резкий контраст","contrast"
"четкая картинка","image"
"сильные очки","glasses"
"проницательный человек","man"
"острый ум","wit"
"острый, проницательный взгляд","look"
"проницательный наблюдатель","observer"
"умная девочка","girl"
"умная голова","head"
"острый журналист","journalist"
"острое слово","word"
"острый язык","tongue"
"острое высказывание","statement"
"острый критик","critic"
"острое замечание","remark"
"острая критика","critique"
"острая статья","article"
"острый анекдот","anecdote"
"резкий человек","man"
"резкий взгляд","look"
"резкое слово","word"
"резкая реакция","reaction"
"резкая брань","abuse"
"грубый ответ","answer"
"грубая бесцеремонность","unceremoniousness"
"грубый цинизм","cynicism"
"строгий закон","law"
"строгий правитель","ruler"
"строгий распорядок","order"
"строгое наказание","punishment"
"строгая диета","diet"
"непоседливый ребенок","kid"
"напряженный взгляд","look"
"узкоспециализированное исследование","research"
"узкоспециализированная работа","work"
"острый соус","sauce"
"острый вкус","taste"
"острый перец","pepper"
"острое лечо","lecho"
"газированный напиток","drink"
"газированная вода","water"
"резкий звук","sound"
"острый визг","scream"
"резкий голос","voice"
"резкий лай","bark"
"резкий храп","snore"
